acc_x,acc_y,acc_z,v_dc,i_dc,v_ac,i_ac,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
8.2824768,4.4479968,-0.766896,0.5119238281249999,3.727340698242187e-05,0.1922265625,7.009506225585936e-06,6.02,21.76,194.44,70.2,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.3591664,4.601376000000001,-0.8435856,0.5165625,3.9836883544921874e-05,0.1899999999999999,5.5446624755859376e-06,6.03,21.78000000000001,194.43,70.21000000000001,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.601376000000001,-0.9202752,0.518232421875,4.240036010742187e-05,0.19408203125,7.741928100585936e-06,6.04,21.85,194.38,70.34000000000002,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.601376000000001,-0.8435856,0.5225,4.8259735107421874e-05,0.195751953125,8.108139038085936e-06,6.05,21.849999999999998,194.29,70.45000000000002,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.601376000000001,-0.9969648,0.5219433593749999,3.910446166992187e-05,0.191484375,8.474349975585937e-06,6.06,21.82,194.18,70.55,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.6780656,-0.9969648,0.5247265624999999,4.679489135742187e-05,0.195380859375,7.375717163085936e-06,6.07,21.82,194.08,70.58,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.3713072,-0.9202752,0.527880859375,4.569625854492187e-05,0.20744140625,7.741928100585936e-06,6.08,21.84,193.99,70.63,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.9202752,0.532890625,5.155563354492187e-05,0.208369140625,7.741928100585936e-06,6.09,21.86,193.91,70.74,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.9969648,0.53994140625,5.082321166992188e-05,0.202060546875,7.741928100585936e-06,6.1,21.86,193.86,70.8,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.4479968,-0.6902064,0.54142578125,5.558395385742187e-05,0.200390625,7.009506225585936e-06,6.11,21.88,193.8,70.88,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.435856000000001,4.3713072,-0.9969648,0.546435546875,5.192184448242187e-05,0.200390625,7.009506225585936e-06,6.12,21.880000000000003,193.76,70.95,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.4479968,-0.9969648,0.54958984375,5.411911010742187e-05,0.1951953125,7.375717163085936e-06,6.13,21.90000000000001,193.68,71.02000000000001,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.6780656,-0.9202752,0.5533007812499999,4.899215698242188e-05,0.197978515625,7.741928100585936e-06,6.14,22.0,193.53,71.1,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.899028800000001,4.4479968,-0.9969648,0.559794921875,5.448532104492187e-05,0.205400390625,7.009506225585936e-06,6.15,22.02,193.45,71.13,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.601376000000001,-1.1503440000000005,0.561279296875,5.265426635742187e-05,0.2041015624999999,7.741928100585936e-06,6.16,22.04,193.36,71.21,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.601376000000001,-1.0736544,0.5625781249999999,4.862594604492188e-05,0.1989062499999999,7.741928100585936e-06,6.17,22.05,193.3,71.31,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.766896,0.563876953125,4.716110229492187e-05,0.205771484375,7.741928100585936e-06,6.18,22.07,193.21,71.36,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.601376000000001,-0.766896,0.56517578125,4.716110229492187e-05,0.2115234375,6.277084350585938e-06,6.19,22.07,193.08,71.44,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.4479968,-0.9202752,0.565361328125,4.0203094482421874e-05,0.2115234375,6.277084350585938e-06,6.2,22.07,193.0,71.49,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.601376000000001,-1.0736544,0.56591796875,4.569625854492187e-05,0.206513671875,7.375717163085936e-06,6.21,22.080000000000002,192.9,71.55,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.5246864,-1.0736544,0.56517578125,3.947067260742187e-05,0.21857421875,5.910873413085938e-06,6.22,22.1,192.79,71.59,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.601376000000001,-1.1503440000000005,0.565361328125,4.459762573242187e-05,0.2287792968749999,6.6432952880859385e-06,6.23,22.11,192.72,71.65,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.8435856,0.5636914062499999,4.606246948242187e-05,0.225068359375,7.741928100585936e-06,6.24,22.17,192.63,71.74,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.5246864,-0.9969648,0.56072265625,4.459762573242187e-05,0.2154199218749999,7.009506225585936e-06,6.25,22.28,192.4,71.86,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.7547552,-0.9969648,0.56072265625,3.9836883544921874e-05,0.22228515625,7.375717163085936e-06,6.26,22.36,192.3,71.9,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.6780656,-0.766896,0.560166015625,4.386520385742187e-05,0.2291503906249999,6.277084350585938e-06,6.27,22.4,192.24,71.97,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.4479968,-1.0736544,0.558681640625,4.423141479492187e-05,0.22154296875,8.108139038085936e-06,6.28,22.450000000000003,192.24,72.03000000000002,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.3713072,-1.1503440000000005,0.556455078125,4.240036010742187e-05,0.213193359375,6.6432952880859385e-06,6.29,22.50000000000001,192.2,72.13000000000001,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.3591664,4.217928000000001,-0.9969648,0.5533007812499999,4.313278198242187e-05,0.2148632812499999,8.108139038085936e-06,6.3,22.600000000000005,192.23,72.24,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.5246864,-1.0736544,0.5521874999999999,4.093551635742187e-05,0.2146777343749999,8.108139038085936e-06,6.31,22.65,192.24,72.28,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.3713072,-0.766896,0.551259765625,4.0203094482421874e-05,0.208369140625,7.375717163085936e-06,6.32,22.67,192.29,72.34,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.435856000000001,4.5246864,-0.9202752,0.5490332031249999,4.349899291992187e-05,0.200390625,7.375717163085936e-06,6.33,22.7,192.37,72.38,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.3591664,4.5246864,-1.1503440000000005,0.5469921875,4.349899291992187e-05,0.2026171875,7.009506225585936e-06,6.34,22.73,192.42,72.38,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.217928000000001,-0.8435856,0.544208984375,4.203414916992187e-05,0.200576171875,8.108139038085936e-06,6.35,22.81,192.53,72.41,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.3591664,4.3713072,-0.6135168,0.54328125,4.093551635742187e-05,0.196494140625,6.6432952880859385e-06,6.36,22.840000000000003,192.55,72.42,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.4479968,-0.9969648,0.54328125,4.166793823242187e-05,0.191669921875,7.009506225585936e-06,6.37,22.86,192.54,72.43,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.3591664,4.217928000000001,-1.0736544,0.541240234375,4.349899291992187e-05,0.1959375,6.6432952880859385e-06,6.38,22.870000000000005,192.5,72.44,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.601376000000001,-1.2270336,0.5397558593749999,4.240036010742187e-05,0.192783203125,7.375717163085936e-06,6.39,22.890000000000004,192.45,72.44,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.4479968,-1.1503440000000005,0.534931640625,5.082321166992188e-05,0.191484375,1.4699935913085936e-05,6.4,22.92,192.33,72.48,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.4479968,-1.3037232,0.529921875,3.947067260742187e-05,0.185546875,9.206771850585936e-06,6.41,22.95,192.26,72.49,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.5246864,-0.9202752,0.52880859375,4.056930541992187e-05,0.181650390625,7.009506225585936e-06,6.42,22.97,192.19,72.51,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.0645488,-1.0736544,0.5258398437499999,4.349899291992187e-05,0.17775390625,9.206771850585936e-06,6.43,22.98,192.17,72.55,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.5246864,-1.0736544,0.5219433593749999,4.313278198242187e-05,0.181279296875,7.375717163085936e-06,6.44,23.010000000000005,192.12,72.55,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.4479968,-1.1503440000000005,0.516748046875,4.056930541992187e-05,0.1822070312499999,9.939193725585938e-06,6.45,23.03,191.99,72.53,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.3713072,-1.0736544,0.51396484375,4.166793823242187e-05,0.1846191406249999,8.474349975585937e-06,6.46,23.05,191.9,72.48,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.589235200000001,4.4479968,-0.8435856,0.512294921875,4.386520385742187e-05,0.182021484375,9.206771850585936e-06,6.47,23.050000000000004,191.84,72.41,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.2946176000000005,-0.9202752,0.507841796875,4.386520385742187e-05,0.196494140625,8.108139038085936e-06,6.48,23.11,191.77,72.34,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.6780656,-0.9202752,0.506357421875,4.166793823242187e-05,0.201875,7.375717163085936e-06,6.49,23.18,191.73,72.28,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.9202752,0.505615234375,4.203414916992187e-05,0.2042871093749999,7.741928100585936e-06,6.5,23.26,191.7,72.27,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.899028800000001,4.4479968,-0.9969648,0.506357421875,4.349899291992187e-05,0.197236328125,8.474349975585937e-06,6.51,23.34,191.63,72.31,-0.26,-0.96,0.13,-0.04,0.15,-0.14
7.9757184,4.4479968,-0.9969648,0.5080273437499999,4.130172729492187e-05,0.208369140625,9.572982788085938e-06,6.52,23.4,191.57,72.38,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.899028800000001,4.5246864,-0.9969648,0.510068359375,4.093551635742187e-05,0.2182031249999999,8.840560913085937e-06,6.53,23.440000000000005,191.54,72.43,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.899028800000001,4.4479968,-1.2270336,0.514892578125,4.240036010742187e-05,0.2313769531249999,6.6432952880859385e-06,6.54,23.480000000000004,191.52,72.51000000000002,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.3713072,-1.0736544,0.5202734375,4.569625854492187e-05,0.22154296875,8.474349975585937e-06,6.55,23.510000000000005,191.51,72.59,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.601376000000001,-0.8435856,0.524169921875,4.459762573242187e-05,0.21634765625,7.375717163085936e-06,6.56,23.570000000000004,191.43,72.67,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.5125456,4.5246864,-1.0736544,0.5258398437499999,4.7527313232421874e-05,0.209482421875,8.108139038085936e-06,6.57,23.62,191.39,72.69,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.7547552,-0.6902064,0.52806640625,5.045700073242188e-05,0.2178320312499999,8.474349975585937e-06,6.58,23.62,191.38,72.73,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.2824768,4.601376000000001,-0.9969648,0.53177734375,5.192184448242187e-05,0.211337890625,8.840560913085937e-06,6.59,23.65,191.35,72.73,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.601376000000001,-1.2270336,0.536787109375,5.631637573242187e-05,0.20595703125,7.741928100585936e-06,6.6,23.69,191.32,72.74,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.899028800000001,4.5246864,-1.0736544,0.54216796875,5.631637573242187e-05,0.2016894531249999,8.474349975585937e-06,6.61,23.740000000000002,191.15,72.78,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.052408,4.601376000000001,-1.2270336,0.546435546875,5.924606323242187e-05,0.209296875,7.741928100585936e-06,6.62,23.760000000000005,191.04,72.84,-0.26,-0.96,0.12,-0.04,0.15,-0.14
7.9757184,4.4479968,-1.2270336,0.551630859375,5.668258666992187e-05,0.207255859375,9.206771850585936e-06,6.63,23.810000000000002,190.91,72.89,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.5246864,-1.1503440000000005,0.558125,5.228805541992187e-05,0.209482421875,8.474349975585937e-06,6.64,23.840000000000003,190.78,72.96,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.6780656,-0.9202752,0.5622070312499999,4.935836791992188e-05,0.2015039062499999,9.206771850585936e-06,6.65,23.88,190.67,73.02,-0.26,-0.96,0.12,-0.04,0.15,-0.14
8.1290976,4.3713072,-0.9969648,0.5636914062499999,4.716110229492187e-05,0.19927734375,8.108139038085936e-06,6.66,23.91,190.48,73.12,-0.27,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-1.0736544,0.5648046874999999,4.679489135742187e-05,0.19296875,8.840560913085937e-06,6.67,23.93,190.42,73.15,-0.27,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.601376000000001,-0.9202752,0.564990234375,5.045700073242188e-05,0.194267578125,8.840560913085937e-06,6.68,23.95,190.39,73.21,-0.27,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.6780656,-0.8435856,0.5640624999999999,4.240036010742187e-05,0.18591796875,8.108139038085936e-06,6.69,23.929999999999996,190.37,73.24,-0.27,-0.96,0.12,-0.04,0.15,-0.14
8.205787200000001,4.5246864,-1.0736544,0.563505859375,4.606246948242187e-05,0.18666015625,8.474349975585937e-06,6.7,23.899999999999995,190.36,73.24,-0.27,-0.96,0.12000000000000088,-0.04,0.15,-0.14
8.3591664,4.6780656,-1.0736544,0.561650390625,3.9836883544921874e-05,0.181650390625,7.375717163085936e-06,6.71,23.849999999999998,190.3,73.28,-0.27,-0.96,0.13,-0.04,0.15,-0.14
8.5125456,4.4479968,-1.0736544,0.56109375,4.569625854492187e-05,0.182578125,7.741928100585936e-06,6.72,23.829999999999995,190.25,73.31,-0.27,-0.96,0.13,-0.04,0.15,-0.14
8.1290976,4.5246864,-1.1503440000000005,0.560537109375,4.569625854492187e-05,0.17701171875,5.910873413085938e-06,6.73,23.78,190.22,73.35,-0.27,-0.96,0.13,-0.04,0.15,-0.14
8.1290976,4.3713072,-1.2270336,0.559423828125,4.533004760742187e-05,0.179609375,8.108139038085936e-06,6.74,23.71,190.23,73.38,-0.27,-0.95,0.13,-0.04,0.15,-0.14
