x,y,z,nx,ny,nz,time
0.0,600.0,100.0,0.0,-1.0,0.0,0.000
10.5,605.2,98.5,0.05,-0.99,0.03,0.033
20.8,610.8,97.2,0.09,-0.98,0.06,0.067
30.5,616.5,96.1,0.12,-0.97,0.08,0.100
39.8,622.4,95.3,0.15,-0.96,0.11,0.133
48.5,628.3,94.8,0.17,-0.95,0.13,0.167
56.2,634.2,94.6,0.19,-0.94,0.15,0.200
62.8,640.0,94.7,0.21,-0.93,0.17,0.233
68.5,645.5,95.2,0.22,-0.92,0.18,0.267
73.2,650.8,96.0,0.23,-0.91,0.19,0.300
76.8,655.8,97.2,0.24,-0.90,0.20,0.333
79.5,660.5,98.8,0.24,-0.89,0.20,0.367
81.2,664.8,100.6,0.24,-0.88,0.21,0.400
82.0,668.7,102.8,0.24,-0.87,0.21,0.433
82.0,672.2,105.2,0.23,-0.87,0.20,0.467
81.2,675.3,107.8,0.22,-0.86,0.19,0.500
79.6,678.0,110.6,0.21,-0.86,0.18,0.533
77.2,680.2,113.5,0.19,-0.86,0.16,0.567
74.2,681.9,116.5,0.17,-0.86,0.14,0.600
70.5,683.2,119.6,0.15,-0.86,0.12,0.633
66.3,684.0,122.7,0.12,-0.87,0.09,0.667
61.6,684.4,125.8,0.09,-0.88,0.06,0.700
56.5,684.3,128.8,0.06,-0.89,0.03,0.733
51.0,683.8,131.7,0.03,-0.90,0.01,0.767
45.2,682.8,134.5,0.00,-0.91,-0.02,0.800
39.2,681.4,137.1,-0.03,-0.92,-0.05,0.833
32.9,679.6,139.5,-0.06,-0.93,-0.08,0.867
26.5,677.4,141.7,-0.09,-0.94,-0.10,0.900
20.0,674.8,143.6,-0.12,-0.95,-0.13,0.933
13.4,671.9,145.3,-0.15,-0.96,-0.15,0.967
6.8,668.7,146.7,-0.17,-0.96,-0.17,1.000

