timestamp,palm_pos_x,palm_pos_y,palm_pos_z,palm_normal_x,palm_normal_y,palm_normal_z,power
0.000,-50.2,650.3,120.1,0.15,-0.92,0.36,0.000234
0.033,-48.8,652.1,118.3,0.14,-0.93,0.35,0.000241
0.067,-46.5,655.2,115.8,0.12,-0.94,0.33,0.000255
0.100,-43.1,659.4,112.5,0.10,-0.95,0.30,0.000272
0.133,-38.9,664.8,108.4,0.08,-0.96,0.27,0.000295
0.167,-33.7,671.2,103.6,0.05,-0.97,0.23,0.000323
0.200,-27.5,678.5,98.2,0.03,-0.98,0.19,0.000358
0.233,-20.2,686.3,92.5,0.01,-0.99,0.14,0.000401
0.267,-12.1,694.2,86.8,-0.01,-0.99,0.09,0.000452
0.300,-3.5,701.8,81.3,-0.03,-0.99,0.04,0.000512
0.333,5.8,708.5,76.2,-0.05,-0.98,-0.02,0.000578
0.367,15.4,713.9,71.8,-0.07,-0.97,-0.08,0.000645
0.400,25.2,717.8,68.3,-0.09,-0.96,-0.14,0.000708
0.433,35.0,720.2,65.8,-0.11,-0.94,-0.20,0.000761
0.467,44.5,721.1,64.5,-0.13,-0.92,-0.26,0.000801
0.500,53.4,720.5,64.4,-0.15,-0.90,-0.31,0.000824
0.533,61.5,718.5,65.5,-0.17,-0.88,-0.36,0.000828
0.567,68.6,715.3,67.8,-0.19,-0.85,-0.40,0.000812
0.600,74.5,711.1,71.2,-0.21,-0.82,-0.43,0.000778
0.633,79.1,706.2,75.5,-0.22,-0.79,-0.46,0.000728
0.667,82.4,700.8,80.6,-0.23,-0.76,-0.48,0.000666
0.700,84.3,695.2,86.2,-0.24,-0.72,-0.49,0.000595
0.733,85.0,689.5,92.1,-0.24,-0.69,-0.49,0.000520
0.767,84.6,684.0,98.0,-0.24,-0.66,-0.49,0.000444
0.800,83.2,678.9,103.8,-0.23,-0.63,-0.48,0.000371
0.833,81.0,674.2,109.2,-0.22,-0.60,-0.46,0.000304
0.867,78.2,670.1,114.1,-0.21,-0.58,-0.44,0.000246
0.900,74.9,666.7,118.4,-0.19,-0.56,-0.41,0.000199
0.933,71.3,663.9,121.9,-0.18,-0.55,-0.38,0.000163
0.967,67.6,661.8,124.7,-0.16,-0.54,-0.34,0.000137
1.000,63.9,660.3,126.7,-0.15,-0.53,-0.31,0.000121




